# Greenhouse Gas Net Emissions (Gigatons CO2 equivalent/year)
# Year	Baseline	Current Scenario	All Countries Follow NDCs
2000	40.84	40.84	
2001	41.77	41.77	
2002	42.52	42.52	
2003	43.25	43.25	
2004	44.15	44.15	
2005	45.06	45.06	
2006	46.02	46.02	
2007	47.22	47.22	
2008	48.34	48.34	
2009	49.18	49.18	
2010	49.76	49.76	
2011	50.6	50.6	
2012	51.51	51.51	
2013	52.36	52.36	
2014	53.16	53.16	
2015	53.92	53.92	
2016	54.62	54.62	
2017	55.32	55.32	
2018	56.17	56.17	
2019	57	57	
2020	57.44	57.44	
2021	57.36	57.36	
2022	57.97	57.97	
2023	58.62	58.62	
2024	59.22	57.89	
2025	59.76	56.64	
2026	60.27	55.45	
2027	60.74	54.31	
2028	61.19	53.16	
2029	61.61	51.99	
2030	62.02	50.75	
2031	62.42	49.43	
2032	62.79	48.04	
2033	63.16	46.59	
2034	63.51	45.32	
2035	63.85	44.19	
2036	64.18	43.17	
2037	64.5	42.31	
2038	64.82	41.59	
2039	65.14	41	
2040	65.45	40.51	
2041	65.76	40.09	
2042	66.06	39.72	
2043	66.36	39.38	
2044	66.65	39.06	
2045	66.93	38.77	
2046	67.21	38.51	
2047	67.48	38.3	
2048	67.74	38.1	
2049	68	37.9	
2050	68.25	37.71	
2051	68.49	37.52	
2052	68.72	37.33	
2053	68.94	37.14	
2054	69.16	36.96	
2055	69.36	36.78	
2056	69.56	36.62	
2057	69.75	36.47	
2058	69.92	36.32	
2059	70.09	36.16	
2060	70.25	36.01	
2061	70.4	35.87	
2062	70.55	35.72	
2063	70.69	35.58	
2064	70.82	35.45	
2065	70.94	35.32	
2066	71.06	35.2	
2067	71.17	35.08	
2068	71.28	34.96	
2069	71.38	34.85	
2070	71.48	34.73	
2071	71.56	34.61	
2072	71.65	34.5	
2073	71.72	34.39	
2074	71.79	34.29	
2075	71.85	34.18	
2076	71.91	34.07	
2077	71.96	33.97	
2078	71.99	33.86	
2079	72.02	33.75	
2080	72.04	33.64	
2081	72.06	33.53	
2082	72.07	33.42	
2083	72.07	33.31	
2084	72.07	33.2	
2085	72.06	33.09	
2086	72.05	32.99	
2087	72.04	32.88	
2088	72.02	32.77	
2089	72	32.67	
2090	71.97	32.56	
2091	71.94	32.46	
2092	71.91	32.36	
2093	71.88	32.26	
2094	71.84	32.17	
2095	71.81	32.09	
2096	71.77	32.01	
2097	71.74	31.93	
2098	71.7	31.85	
2099	71.66	31.77	
2100	71.61	31.7	
